LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.25,90,75,0.00007
1,0.25,90,60,0.0058
1,0.25,90,45,0.01259
1,0.25,90,30,0.02086
1,0.25,90,15,0.02278
1,0.25,90,0,0.02489
1,0.25,75,75,0.00047
1,0.25,75,60,0.00792
1,0.25,75,45,0.01477
1,0.25,75,30,0.02229
1,0.25,75,15,0.02518
1,0.25,75,0,0.02897
1,0.25,60,75,0.00009
1,0.25,60,60,0.00413
1,0.25,60,45,0.0131
1,0.25,60,30,0.0207
1,0.25,60,15,0.02687
1,0.25,60,0,0.02858
1,0.25,45,75,0.00004
1,0.25,45,60,0.00108
1,0.25,45,45,0.00761
1,0.25,45,30,0.01842
1,0.25,45,15,0.02641
1,0.25,45,0,0.03002
1,0.25,30,75,0
1,0.25,30,60,0.00129
1,0.25,30,45,0.00667
1,0.25,30,30,0.01515
1,0.25,30,15,0.02341
1,0.25,30,0,0.02718
1,0.25,15,75,0
1,0.25,15,60,0.00184
1,0.25,15,45,0.01069
1,0.25,15,30,0.01829
1,0.25,15,15,0.02119
1,0.25,15,0,0.02343
1,0.25,0,75,0
1,0.25,0,60,0.00655
1,0.25,0,45,0.01424
1,0.25,0,30,0.02094
1,0.25,0,15,0.02575
1,0.25,0,0,0.02408
1,0.25,-15,75,0.0012
1,0.25,-15,60,0.00691
1,0.25,-15,45,0.01423
1,0.25,-15,30,0.02206
1,0.25,-15,15,0.02579
1,0.25,-15,0,0.02401
1,0.25,-30,75,0.00014
1,0.25,-30,60,0.00256
1,0.25,-30,45,0.01378
1,0.25,-30,30,0.02402
1,0.25,-30,15,0.02809
1,0.25,-30,0,0.02607
1,0.25,-45,75,0.00013
1,0.25,-45,60,0.00103
1,0.25,-45,45,0.00738
1,0.25,-45,30,0.0193
1,0.25,-45,15,0.02908
1,0.25,-45,0,0.0284
1,0.25,-60,75,0.00003
1,0.25,-60,60,0.00202
1,0.25,-60,45,0.00753
1,0.25,-60,30,0.01625
1,0.25,-60,15,0.02597
1,0.25,-60,0,0.02881
1,0.25,-75,75,0
1,0.25,-75,60,0.00249
1,0.25,-75,45,0.01039
1,0.25,-75,30,0.01813
1,0.25,-75,15,0.02333
1,0.25,-75,0,0.02708
1,0.25,-90,75,0.00007
1,0.25,-90,60,0.0058
1,0.25,-90,45,0.01259
1,0.25,-90,30,0.02086
1,0.25,-90,15,0.02278
1,0.25,-90,0,0.02489
1,0.5,90,75,0.02148
1,0.5,90,60,0.0641
1,0.5,90,45,0.1101
1,0.5,90,30,0.13665
1,0.5,90,15,0.15189
1,0.5,90,0,0.14974
1,0.5,75,75,0.02227
1,0.5,75,60,0.07588
1,0.5,75,45,0.11822
1,0.5,75,30,0.13664
1,0.5,75,15,0.14343
1,0.5,75,0,0.15017
1,0.5,60,75,0.01792
1,0.5,60,60,0.07401
1,0.5,60,45,0.12749
1,0.5,60,30,0.13349
1,0.5,60,15,0.14494
1,0.5,60,0,0.14724
1,0.5,45,75,0.02062
1,0.5,45,60,0.06896
1,0.5,45,45,0.12566
1,0.5,45,30,0.14521
1,0.5,45,15,0.14581
1,0.5,45,0,0.14619
1,0.5,30,75,0.02286
1,0.5,30,60,0.06525
1,0.5,30,45,0.11698
1,0.5,30,30,0.14383
1,0.5,30,15,0.14855
1,0.5,30,0,0.14867
1,0.5,15,75,0.01801
1,0.5,15,60,0.06717
1,0.5,15,45,0.10998
1,0.5,15,30,0.13818
1,0.5,15,15,0.15035
1,0.5,15,0,0.14917
1,0.5,0,75,0.01773
1,0.5,0,60,0.07245
1,0.5,0,45,0.1108
1,0.5,0,30,0.13666
1,0.5,0,15,0.14761
1,0.5,0,0,0.15593
1,0.5,-15,75,0.0179
1,0.5,-15,60,0.06996
1,0.5,-15,45,0.11901
1,0.5,-15,30,0.14084
1,0.5,-15,15,0.14793
1,0.5,-15,0,0.14988
1,0.5,-30,75,0.00761
1,0.5,-30,60,0.07431
