,LD,Velocity (km/s),a (degrees),$ (degrees),DI
0,1,1.0,-60,0,0.4142
1,4,1.25,90,30,0.43447
2,4,2.15,-30,30,0.84327
3,1,1.5,30,0,0.67618
4,2,2.15,30,45,0.77519
5,4,1.0,-30,0,0.40345
6,1,0.5,60,30,0.13349
7,1,1.5,75,75,0.24906
8,2,0.5,60,15,0.14001
9,2,1.0,-15,30,0.38084
10,1,1.81,-75,45,0.6235
11,1,0.25,-60,75,3e-05
12,1,1.0,90,45,0.32582
13,2,1.25,-15,75,0.0931
14,4,1.0,30,60,0.23709
15,1,2.15,15,0,0.97961
16,1,1.81,90,45,0.62548
17,4,1.81,90,30,0.6594
18,1,0.25,15,75,0.0
19,4,1.25,-30,15,0.49487
20,1,2.15,0,0,1.00639
21,4,0.5,75,15,0.12614
22,1,1.81,60,30,0.72284
23,4,1.81,0,60,0.43498
24,1,1.25,60,75,0.16817
25,4,1.25,-60,60,0.26377
26,2,0.25,75,30,0.01853
27,1,0.25,30,60,0.00129
28,2,1.5,90,0,0.62946
29,4,1.25,60,60,0.36664
30,4,1.81,45,0,0.7856
31,4,1.81,60,60,0.54573
32,1,1.0,-75,15,0.40749
33,1,0.5,-45,45,0.12475
34,4,1.25,45,30,0.5449
35,4,1.5,30,60,0.43263
36,2,0.25,15,75,0.0
37,1,2.15,90,45,0.75091
38,1,1.81,-15,60,0.48952
39,4,2.15,-45,45,0.64115
40,2,1.25,0,75,0.10688
41,1,1.25,30,30,0.50682
42,1,1.25,-30,30,0.49957
43,4,1.5,45,15,0.64101
44,4,2.15,-90,75,0.3028
45,2,1.0,-45,15,0.39565
46,4,1.81,-90,0,0.75207
47,4,1.0,-15,0,0.47372
48,1,0.25,45,30,0.01842
49,4,1.25,30,45,0.47794
50,1,1.5,75,45,0.50937
51,2,2.15,15,75,0.23932
52,2,1.81,60,15,0.77891
53,4,0.25,-75,75,0.00062
54,2,1.5,45,30,0.63784
55,1,2.15,-90,45,0.75091
56,2,2.15,-30,30,0.86107
57,4,1.81,-15,45,0.56594
58,1,1.25,75,45,0.41685
59,2,0.5,-60,15,0.13972
60,4,2.15,15,75,0.19064
61,2,0.5,60,0,0.13661
62,2,0.5,45,0,0.14369
63,1,1.5,60,75,0.22038
64,1,2.15,15,60,0.58563
65,4,0.25,60,30,0.01328
66,4,0.5,-75,45,0.0863
67,4,1.25,90,45,0.39495
68,1,2.15,-60,0,1.02777
69,4,1.25,30,75,0.1109
70,1,0.25,-90,15,0.02278
71,1,1.25,60,60,0.33136
72,1,1.81,-75,30,0.71653
73,1,2.15,-90,60,0.56859
74,2,1.0,-75,75,0.11998
75,1,1.25,15,60,0.33388
76,2,1.81,0,15,0.82359
77,1,2.15,30,0,0.9958
